Taxa	PT015	PT002	s58.Healthy.greaterthan5.Feces.Baseline	CN031	PH043	CN004	PH042	PH048	s.331.Healthylessthan5.Stool.1.2556	CN023	PT003	s.278.Healthylessthan5.Stool.visit1.2298	s064.Healthy_greaterthan5.Feces.Baseline	s.86.Healthy_greaterthan5.Feces.Baseline	PH029	s048.Healthy_lessthan5.Feces.Baseline	PH047	PH011	s.280.Healthylessthan5.Stool.visit1.2273	PH005	PH049	CN002	s.298.Healthylessthan5.Stool.1.2374	PT004	s066.Healthy_lessthan5.Feces.Baseline	s.91.Healthy.greaterthan5.Feces.Baseline	s.274.Healthylessthan5.Feces.Baseline	s.88.Healthy_greaterthan5.Feces.Baseline	PH045	PT012	PT018	PH025	CL007	PH024	s.87.Healthy_greaterthan5.Feces.Baseline	PT005	s60.Healthy.greaterthan5.Feces.Baseline	s.257.Healthylessthan5.Stool.1.1953	CN011	s083.Healthy_lessthan5.Feces.Baseline	s.109.Healthy.greaterthan5.Stool.1.910	PH021	CN013	PH008	CL009	PT013	PT014	PH002	PT019	s.294.HealthyLess.Than5.Stool.1.2296	CN029	PH028	s115.Healthy_greaterthan5.Feces.Baseline	PH022	CL002	CL005	PH020	CN022	PH019	PT006	s22.Healthy.Feces.Visit1	s69.Healthy_greaterthan5.Feces.Baseline	PH050	s.260.Healthylessthan5.Feces.Baseline	CN027	s.276.Healthylessthan5.Stool.visit1.2112	CN005	CN030	s.356.Healthy.lessthan5.Stool.1.2764	PT017	PH012	s95.Healthy.lessthan5.Feces.Baseline	CL010	s26.Healthy.Feces.Visit1	PH023	s.158.Healthy_lessthan5.Feces.Baseline	s30	PT009	PH017	s45.Healthy_lessthan5.Feces.Baseline	PH031	PT007	PT010	CL006	s.85.Healthy_greaterthan5.Feces.Baseline	PH018	s.290.Healthylessthan5.Stool.visit1.2284	CL003	s.84.Healthy_greaterthan5.Feces.Baseline	PH016	PH051	PH007	CN017	CL008	s.208.Healthy_lessthan5.Feces.Baseline	s.79.Healthy_greaterthan5.Feces.Baseline	CN026	PH027	PH038	PH041	s50.Healthy_lessthan5.Feces.Baseline	s47.Healthy_lessthan5.Feces.Baseline	PH040	s.75.Healthy_greaterthan5.Feces.Baseline	PH010	s128.Healthy_lessthan5.Feces.Baseline	s049.Healthy_greaterthan5.Feces.Baseline	PH035	s125.Healthy_lessthan5.Feces.Baseline	s.89.Healthygreaterthan5.Feces.Baseline	s.153.Healthy_lessthan5.Feces.Baseline	PH054	s46.Healthy.greaterthan5.Feces.Baseline	CN019	s70.Healthy_greaterthan5.Feces.Baseline	s.149.Healthy_lessthan5.Feces.Baseline	PH046	PH052	PT001	s.283.HealthyLess.Than5.Stool.1.2299	s.303.Healthylessthan5.Stool.1.2291	s.353.Healthygreaterthan5.Stool.1.2756	CN007	PH013	CN024	s68.Healthy_greaterthan5.Feces.Baseline	CN020	PH034	CL004	CN006	PH039	s.100.Healthygreaterthan5.Stool.visit1.798	PH037	s.74.Healthy_greaterthan5.Feces.Baseline	CN021	PH036	PH026	PT011	s6.Healthy.Feces.Visit1	CL001
p__Acidobacteria g__Terriglobus s__roseus	2	8	136	24	1	0	15	94	71	11	27	0	15	64	43	109	79	0	47	75	0	37	47	30	108	37	150	30	18	1	64	0	22	96	84	51	12	32	4	0	16	5	0	1	42	1	2	0	35	3	1	39	68	90	47	15	30	12	38	4	7	3	72	44	6	78	62	0	11	41	1	52	60	58	114	81	10	2	0	25	8	88	20	16	66	4	53	17	40	2	4	0	1	15	21	105	21	7	34	37	16	9	11	24	37	13	163	51	0	22	30	48	31	98	10	53	34	0	1	12	35	33	39	15	51	49	0	0	0	3	10	43	45	91	27	0	0	0	35	9
p__Acidobacteria g__Terriglobus s__saanensis	2	1	6	12	8	83	23	9	8	0	17	6	3	6	5	34	13	0	13	6	0	12	7	10	4	8	21	7	6	1	34	2	21	18	21	7	4	8	0	7	11	1	0	0	4	0	0	0	18	0	2	14	9	12	14	5	10	11	10	0	1	4	13	11	7	50	10	0	11	4	0	17	72	7	6	2	3	2	2	1	4	39	6	20	23	1	18	1	4	0	0	0	6	15	3	39	6	5	5	6	13	1	6	9	19	2	31	49	14	4	12	7	16	63	3	11	8	0	0	2	6	12	0	0	12	2	0	0	0	25	8	12	2	7	10	12	0	0	9	2
p__Actinobacteria	4	14	220	81	43	37	27	242	63	13	115	3	69	121	52	104	216	0	67	120	18	182	130	98	197	55	290	87	62	59	181	5	55	396	71	47	66	17	26	0	28	15	2	153	69	3	71	3	221	50	15	202	101	127	98	42	32	84	26	31	62	27	172	121	16	102	72	44	117	73	3	54	64	140	94	114	24	117	3	48	59	138	4	49	205	80	46	153	186	139	14	0	51	97	56	40	18	26	42	76	23	52	39	75	51	43	609	334	72	58	123	227	65	40	22	112	238	4	22	43	40	107	5	24	52	121	53	9	2	8	42	114	279	202	23	6	0	27	64	42
p__Actinobacteria c__Actinobacteria	41	262	3143	311	117	631	137	2346	857	748	1306	149	480	1005	611	1184	1935	38	932	1043	106	769	885	643	926	320	1598	637	601	936	1349	154	555	1725	921	724	507	356	199	68	354	221	293	92	1174	185	811	28	1589	217	284	1103	930	1413	847	132	503	302	362	308	373	145	1599	469	170	672	604	686	1757	578	69	535	771	1034	1114	747	300	1320	425	542	392	2202	220	708	1458	547	501	9810	1222	20	102	76	4314	428	298	709	283	345	589	489	263	357	391	499	784	230	2973	5359	2855	619	1016	1276	531	615	166	554	906	21	452	333	389	880	42	379	319	852	542	286	5	223	4750	931	1130	1205	631	202	24	4007	544	343
p__Actinobacteria c__Coriobacteriia	0	2	54	90	1	24	12	96	100	2	66	2	30	100	21	75	74	0	42	101	0	331	97	17	36	16	126	81	18	2	12	0	58	188	42	33	9	10	2	0	2	8	6	1	22	0	0	1	122	72	5	155	107	56	41	7	12	81	22	18	18	44	132	108	72	27	6	1	27	39	2	19	60	66	80	74	13	15	0	22	94	154	9	15	59	23	108	14	81	1	2	0	16	109	80	28	8	8	24	137	17	21	12	49	19	7	352	80	4	44	134	117	53	7	20	54	471	0	3	98	10	114	0	7	61	47	214	0	0	19	19	141	150	110	31	5	0	0	17	43
p__Actinobacteria f__Actinomycetaceae	0	0	0	0	2	0	0	2	0	0	5	1	0	2	1	0	1	0	0	0	3	0	2	2	0	0	0	0	1	5	3	1	8	3	0	0	0	0	1	0	1	0	0	0	3	2	5	0	3	1	0	1	0	4	6	2	0	0	0	2	0	1	3	1	0	0	2	1	2	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	68	0	0	0	0	4	1	0	0	0	1	2	2	0	0	5	0	0	4	3	1	0	0	0	5	0	0	0	0	3	0	5	0	2	2	0	0	1	0	14	1	0	1	3	0	0	2	5	1	0	5	1	0
p__Actinobacteria f__Atopobiaceae	0	5	14	13	9	25	19	77	18	1	22	3	15	27	108	20	110	0	29	95	0	51	27	13	73	4	67	24	12	0	37	0	21	133	65	40	0	6	1	0	8	5	0	0	6	0	0	3	70	18	5	43	16	62	29	17	7	16	36	4	6	9	43	65	3	17	4	0	3	8	0	5	8	45	172	16	4	21	1	15	8	45	7	19	25	17	10	43	45	1	8	1	3	26	7	13	1	8	21	25	5	7	9	29	8	4	73	57	0	19	30	33	15	3	14	8	57	0	11	3	12	36	0	8	11	36	0	0	0	26	1	22	49	78	7	1	0	0	51	30
p__Actinobacteria f__Beutenbergiaceae	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	2	0	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	3	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
p__Actinobacteria f__Bifidobacteriaceae	12	1	11	18	1	16	6	5	19	1	216	53	12	21	4	54	4	1	58	104	0	4	8	93	137	4	50	23	2	1043	265	1	6	34	11	131	15	5	26	0	0	63	0	5	76	0	1479	13	36	9	2	14	24	7	2	0	20	5	48	22	3	3	6	17	4	2	0	450	218	138	1	14	22	9	0	105	3	80	0	17	94	1	1	2	15	7	39	157	10	1	0	17	251	138	16	11	8	6	1	2	5	3	2	25	31	2	39	298	771	5	22	106	18	1	3	37	99	0	14	16	32	23	0	0	2	14	1	3	3	0	991	34	146	20	20	68	0	455	8	15
p__Actinobacteria f__Cellulomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Actinobacteria f__Coriobacteriaceae	0	0	7	6	0	0	7	8	3	0	1	0	1	11	1	12	0	0	0	23	0	26	10	0	0	1	0	7	0	0	0	0	0	21	7	0	0	0	0	0	0	1	0	0	1	0	0	0	1	8	0	4	4	1	1	0	3	8	2	0	1	1	17	14	0	0	0	0	0	6	0	0	10	0	0	1	0	0	0	1	2	0	0	0	0	0	2	0	6	1	0	0	0	19	4	5	0	0	2	15	1	0	0	11	0	0	8	0	0	6	8	7	6	1	3	3	44	0	0	2	0	5	0	0	15	3	0	0	0	0	0	10	8	8	0	0	0	0	1	9
p__Actinobacteria f__Dermabacteraceae	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0
p__Actinobacteria f__Dermacoccaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
p__Actinobacteria f__Eggerthellaceae	5	73	648	222	19	682	34	396	308	135	1083	17	169	138	88	154	481	2	421	246	0	1013	78	161	433	49	147	300	92	9	122	7	349	683	85	483	22	27	2	0	69	74	1	29	100	9	0	2	582	38	20	1185	97	177	122	40	47	164	124	217	72	109	283	95	141	59	136	0	19	150	18	63	95	72	59	1005	61	117	0	79	98	136	87	357	164	118	70	43	131	2	3	0	118	531	105	50	206	23	302	382	58	90	100	52	103	42	450	445	31	122	362	399	88	32	40	67	227	0	58	85	22	135	0	197	129	93	3793	2	0	68	294	140	779	229	206	61	0	0	78	50
p__Actinobacteria f__Geodermatophilaceae	0	1	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	6	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0
p__Actinobacteria f__Intrasporangiaceae	0	0	1	3	0	0	1	1	4	0	3	0	0	2	0	0	0	0	0	1	0	1	12	0	2	4	0	0	5	1	0	0	0	4	0	0	0	0	0	0	1	0	0	0	2	0	0	0	3	0	0	0	0	1	1	0	1	1	0	7	0	1	1	7	0	1	0	0	0	1	1	1	0	2	1	0	0	0	0	13	1	1	0	1	1	0	7	19	0	1	0	0	1	5	4	1	0	0	0	0	1	0	0	1	0	0	1	0	0	2	0	0	4	1	0	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	1	0	0	9	1	0
p__Actinobacteria f__Microbacteriaceae	1	3	38	19	0	15	4	53	14	1	31	1	9	28	1	28	16	1	21	5	6	19	22	5	22	6	60	30	3	28	10	1	8	12	14	6	4	3	2	3	6	0	9	1	4	1	3	0	23	1	10	19	19	18	13	4	3	6	2	5	6	2	50	7	3	13	14	23	5	18	0	8	30	36	7	16	1	6	7	8	7	59	5	6	48	10	7	474	25	0	0	0	30	12	9	16	2	8	1	8	1	3	7	8	15	9	77	91	0	14	8	27	14	1	2	9	22	1	21	1	8	22	1	33	5	12	16	14	0	7	3	24	52	37	8	0	0	37	17	10
p__Actinobacteria f__Micrococcaceae	1	13	222	10	7	32	3	41	32	45	32	7	17	17	6	16	45	0	9	24	63	39	21	5	19	3	66	33	22	66	27	0	22	17	23	12	16	8	4	2	10	10	1	4	19	9	7	0	36	4	13	26	19	29	26	7	29	7	28	12	5	5	9	13	4	21	132	77	42	13	9	13	13	51	29	13	5	39	170	43	19	17	5	14	28	12	5	788	28	0	9	2	65	12	11	8	14	3	7	10	2	4	13	8	24	15	136	44	1	10	57	42	14	17	1	21	29	10	44	10	11	21	15	7	94	18	22	8	1	29	46	24	5	46	23	0	0	417	28	7
p__Actinobacteria f__Micromonosporaceae	1	4	103	2	0	0	2	100	9	1	35	0	8	24	0	6	29	0	6	10	2	15	13	9	5	1	14	25	3	2	1	0	4	28	10	6	1	0	1	0	1	0	0	0	0	0	0	0	32	0	2	24	15	18	14	2	1	4	2	0	3	1	2	6	1	9	4	2	0	4	0	5	5	27	2	32	0	2	1	4	2	36	3	3	16	4	3	81	41	0	0	0	8	1	7	10	0	9	1	0	0	6	3	4	5	2	70	7	0	5	19	21	10	2	3	5	14	0	3	2	2	23	0	3	0	21	0	2	0	0	4	21	5	36	1	1	0	8	13	2
p__Actinobacteria f__Mycobacteriaceae	0	2	88	6	11	4	3	102	36	7	35	0	6	17	183	71	41	0	34	38	3	31	54	8	11	3	67	8	12	10	12	0	39	36	31	24	16	16	0	4	59	2	0	4	48	0	0	3	62	42	11	37	51	54	57	21	12	12	14	7	8	2	48	19	2	28	96	10	84	5	7	26	32	48	129	22	21	0	0	24	34	40	7	19	60	11	38	121	39	0	0	2	6	5	17	34	4	8	9	12	8	12	6	18	33	14	129	26	0	32	31	21	39	58	10	40	27	0	10	9	12	37	1	28	54	24	9	3	0	5	10	36	70	85	14	1	0	27	14	5
p__Actinobacteria f__Nocardiaceae	0	0	1	0	0	1	0	1	16	0	0	0	1	1	0	9	3	0	9	4	0	4	4	2	0	3	8	1	0	0	4	0	11	3	7	1	0	6	0	0	5	0	0	0	1	0	0	0	0	1	0	1	9	2	6	0	3	0	6	0	0	0	0	5	0	12	0	0	0	1	0	8	2	0	4	0	2	1	0	2	0	0	2	0	7	0	19	8	4	0	1	0	0	0	1	16	0	0	0	4	7	2	0	2	3	1	6	2	0	1	0	0	6	30	0	3	5	0	0	0	0	0	0	0	0	2	1	0	0	0	0	5	0	1	4	0	0	1	4	0
p__Actinobacteria f__Nocardioidaceae	0	2	10	0	0	1	0	1	5	0	4	1	4	12	3	0	4	0	0	1	1	3	0	1	0	0	0	0	2	1	0	0	0	1	4	2	0	0	0	2	0	0	0	0	1	0	0	0	7	0	1	6	1	1	2	0	1	0	1	0	1	0	0	0	3	0	0	3	0	5	0	4	5	10	0	3	1	1	0	0	0	3	0	1	2	0	0	43	10	0	0	0	3	0	0	1	0	0	0	0	0	1	0	0	1	1	5	1	0	0	16	6	3	0	0	0	6	0	0	0	0	16	0	4	0	2	1	5	0	0	2	6	4	10	1	0	0	5	0	0
